unit,bus,tag,description,archetype,voltage,amp_rating,ka_rating,relay,destination,ct_protection,ct_metering,arrester,diff_note,deck,pt,pt_fuse,pt_reference
1,A,52-GEN1,GEN BREAKER,gen_feeder,4.76KV,1200A,50KA,"SEL-751 (25, 50P, 51P, 50G, 51G)",BOTTOM ENTRY GEN 01 4.16kV-1.785MW FLA=310A,600:5A (3),,,,single,,,
2,A,52-GEN2,GEN BREAKER,gen_feeder,4.76KV,1200A,50KA,"SEL-751 (25, 50P, 51P, 50G, 51G)",BOTTOM ENTRY GEN 02 4.16kV-1.785MW FLA=310A,600:5A (3),,,,single,,,
3,A,52-GEN3,GEN BREAKER,gen_feeder,4.76KV,1200A,50KA,"SEL-751 (25, 50P, 51P, 50G, 51G)",BOTTOM ENTRY GEN 03 4.16kV-1.785MW FLA=310A,600:5A (3),,,,single,,,
4,A,52-GEN4,GEN BREAKER,gen_feeder,4.76KV,1200A,50KA,"SEL-751 (25, 50P, 51P, 50G, 51G)",BOTTOM ENTRY GEN 04 4.16kV-1.785MW FLA=310A,600:5A (3),,,,single,,,
5,A,52-GEN5,GEN BREAKER,gen_feeder,4.76KV,1200A,50KA,"SEL-751 (25, 50P, 51P, 50G, 51G)",BOTTOM ENTRY GEN 05 4.16kV-1.785MW FLA=310A,600:5A (3),,,,single,,,
6,A,52-M1,MAIN BREAKER,customer_feeder,4.76KV,3000A,50KA,"SEL-751 (50P, 51P, 50G, 51G)","BOTTOM EXIT BUS 4.16kV, 3000A LEACHING SWGR-MV-0001",3000:5A (3),,,,single,(3) BUS PT 4160/230V %%C A-B-C,CLF 0.5E,TO ENGINATORS FOR SYNC REFERENCE
7,A,52-M2,MAIN BREAKER,customer_feeder,4.76KV,3000A,50KA,"SEL-751 (50P, 51P, 50G, 51G)","BOTTOM EXIT BUS 4.16kV, 3000A LEACHING SWGR-MV-0001",3000:5A (3),,,,single,,,
8,A,52-GEN6,GEN BREAKER,gen_feeder,4.76KV,1200A,50KA,"SEL-751 (25, 50P, 51P, 50G, 51G)",BOTTOM ENTRY GEN 06 4.16kV-1.785MW FLA=310A,600:5A (3),,,,single,,,
9,A,52-GEN7,GEN BREAKER,gen_feeder,4.76KV,1200A,50KA,"SEL-751 (25, 50P, 51P, 50G, 51G)",BOTTOM ENTRY GEN 07 4.16kV-1.785MW FLA=310A,600:5A (3),,,,single,,,
10,A,52-GEN8,GEN BREAKER,gen_feeder,4.76KV,1200A,50KA,"SEL-751 (25, 50P, 51P, 50G, 51G)",BOTTOM ENTRY GEN 08 4.16kV-1.785MW FLA=310A,600:5A (3),,,,single,,,
11,A,52-GEN9,GEN BREAKER,gen_feeder,4.76KV,1200A,50KA,"SEL-751 (25, 50P, 51P, 50G, 51G)",BOTTOM ENTRY GEN 09 4.16kV-1.785MW FLA=310A,600:5A (3),,,,single,(3) LINE PT 4160/230V %%C A-B-C-G,fused (rating not labelled),LINE PT REFERENCE TO INTELIMAINS RELAY IN MCP
12,A,52-UTILITY,MAIN BREAKER,gen_feeder,4.76KV,1200A,50KA,"SEL-751 (25, 51P, 51G) LINE / SEL-787 (87, 50P, 51P, 51G) BUS",ENTERGY UTILITY 4.16kV BOTTOM ENTRY,1200:5A (3),1200:5A (3),,,upper,,,CT REFERENCE TO INTELIMAINS RELAY IN MCP
12,A,52-3,FEEDER BREAKER,customer_feeder,4.76KV,1200A,50KA,"SEL-751 (50P, 51P, 50G, 51G)",BOTTOM EXIT GAS PROCESSING TR-LV-0003,1200:5A (3),,,,lower,,,
13,A,52-1,FEEDER BREAKER,customer_feeder,4.76KV,1200A,50KA,"SEL-751 (50P, 51P, 50G, 51G)",500KVA XFMR TR-LV-0005 BOTTOM EXIT,1200:5A (3),,,,upper,,,
13,A,52-4,FEEDER BREAKER,customer_feeder,4.76KV,1200A,50KA,"SEL-751 (50P, 51P, 50G, 51G)",BOTTOM EXIT GAS PROCESSING TR-LV-0004,1200:5A (3),,,,lower,,,
14,A,52-2,FEEDER BREAKER,customer_feeder,4.76KV,1200A,50KA,"SEL-751 (50P, 51P, 50G, 51G)",SPARE BOTTOM EXIT,1200:5A (3),,,,upper,,,
14,A,52-5,FEEDER BREAKER,customer_feeder,4.76KV,1200A,50KA,"SEL-751 (50P, 51P, 50G, 51G)",BOTTOM EXIT FRESH WATER WELL PUMPS,1200:5A (3),,,,lower,,,
