unit,cubicle,bus,tag,description,archetype,extras,voltage,amp_rating,ka_rating,relay,destination,ct_protection,ct_metering,ct_system,pt_bus_label,bus_nameplate,arrester,diff_note
1,1,A,52-M1A,,main_pt,,15kV,2000A,37kA,SEL-751 FEEDER  PROTECTION  RELAY,TO XFMR-01 12MVA/16MVA/20MVA 55C 13.8kV/25kV z=5.75%,1200:5A (3),2000:5A (3),1200:5A (3),BUS A,"BUS A, 2000A, 37KAIC,3PH,13.8kV",L.A. 18kV 15.3kV MCOV,
2,2,A,52-F1A,,feeder_upper,,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,INCOMING 13.8kV MPU-60-1 5.7MW,400:5A (3),1200:5A (3),,,,L.A. 18kV 15.3kV MCOV,
3,2,A,52-F2A,,feeder_lower,,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,INCOMING 13.8kV MPU-60-2 5.7MW,400:5A (3),2000:5A (3),,,,L.A. 18kV 15.3kV MCOV,
4,3,A,52-F3A,,feeder_upper,,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,INCOMING 13.8kV MPU-60-3 5.7MW,400:5A (3),1200:5A (3),,,,L.A. 18kV 15.3kV MCOV,
5,3,A,52-F4A,SPARE,feeder_lower,,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,SPARE GENERATOR BREAKER,400:5A (3),2000:5A (3),,,,L.A. 18kV 15.3kV MCOV,
6,4,A,52-F5A,,feeder_upper,kirk_lock_r kirk_letter_r kirk_note_r aux_tap_pp aux_riser_pp aux_run_pp aux_lead_in_pp aux_xfmr_pp aux_lead_out_pp,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,,400:5A (3),1200:5A (3),,,,L.A. 18kV 15.3kV MCOV,
7,4,A,52-F6A,SPARE,feeder_lower,,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,SPARE,400:5A (3),2000:5A (3),,,,L.A. 18kV 15.3kV MCOV,
8,5,A,52-F7A,SPARE,feeder_upper,panel_box_pp panel_label_pp aux_lead_in_lp aux_xfmr_lp aux_lead_out_lp,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,SPARE,400:5A (3),1200:5A (3),,,,L.A. 18kV 15.3kV MCOV,
9,5,A,52-F8A,SPARE,feeder_lower,,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,SPARE,400:5A (3),2000:5A (3),,,,L.A. 18kV 15.3kV MCOV,
10,6,A,52-T,,tie_horizontal,,15kV,2000A,37kA,SEL-751 FEEDER  PROTECTION  RELAY,,2000:5A (3),,,,,,
11,7,B,52-F5B,,feeder_upper,kirk_lock_l kirk_letter_l kirk_note_l aux_riser_b,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,,400:5A (3),1200:5A (3),,,,L.A. 18kV 15.3kV MCOV,
12,7,B,52-F6B,SPARE,feeder_lower,,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,SPARE,400:5A (3),2000:5A (3),,,,L.A. 18kV 15.3kV MCOV,
13,8,B,52-F3B,,feeder_upper,,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,INCOMING 13.8kV MPU-60-7 5.7MW,400:5A (3),1200:5A (3),,,,L.A. 18kV 15.3kV MCOV,
14,8,B,52-F4B,,feeder_lower,,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,INCOMING 13.8KV MPU-60-8 5.7MW,400:5A (3),2000:5A (3),,,,L.A. 18kV 15.3kV MCOV,
15,9,B,52-F1B,,feeder_upper,,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,INCOMING 13.8kV MPU-60-9 5.7MW,400:5A (3),1200:5A (3),,,,L.A. 18kV 15.3kV MCOV,
16,9,B,52-F2B,,feeder_lower,,15kV,1200A,18kA,SEL-751 FEEDER  PROTECTION  RELAY,INCOMING 13.8KV MPU-60-6 5.7MW,400:5A (3),2000:5A (3),,,,L.A. 18kV 15.3kV MCOV,
17,10,B,52-M1A,,main_pt_b,,15kV,2000A,37kA,SEL-751 FEEDER  PROTECTION  RELAY,TO XFMR-02 12MVA/16MVA/20MVA 55C 13.8kV/25kV z=5.75%,1200:5A (3),2000:5A (3),1200:5A (3),BUS B,"BUS B, 2000A, 37KAIC,3PH,13.8kV",L.A. 18kV 15.3kV MCOV,
