unit,bus,tag,description,archetype,voltage,amp_rating,ka_rating,relay,destination,ct_protection,ct_metering,ct_ground,pt,pt_secondary_fuse,arrester,diff_note
1,A,52-M,UTILITY MAIN,utility_incoming,17.5kV,3150A,40kA,SEL-751-M MAIN PROTECTION RELAY,INCOMING 13.8KV LINE FROM UTILITY,3000:5A (3),,,"14,400:120V",6A,,
2,A,52-F1A,TRANSFORMER FEEDER,feeder_breaker,17.5kV,1200A,40kA,SEL-751-F1A FEEDER PROTECTION RELAY,TO 2500KVA XFMR 13.8KV-480Y/277V Z=5.75%,600:5A (3),,,,,,
3,A,52-F2A,MOTOR FEEDER,motor_feeder,17.5kV,1200A,40kA,SEL-710-F2A MOTOR PROTECTION RELAY,TO 1500HP 13.8KV INDUCTION MOTOR,200:5A (3),,50:5A,,,,
4,A,52-F3A,CUSTOMER FEEDER,customer_feeder,17.5kV,1200A,40kA,SEL-751-F3A FEEDER PROTECTION RELAY,CUSTOMER FEEDER 1A,400:5A (3),3000:5A (3),,,,L.A. 18kV 15.3kV MCOV,
5,A,,XFMR FEEDER,xfmr_feeder,17.5kV,,,,CONTINUE BUS-B UNIT 12,,3000:5A (3),,,,,
6,A,PT-A,BUS A PT,pt_riser_tie,17.5kV,,,GE-850-A BUS DIFFERENTIAL RELAY WITH HID MODULE,,,,,,,,
7,A,52-T,BUS TIE,main_tie,17.5kV,3150A,40kA,SEL-751-T TIE PROTECTION RELAY WITH SYNC,TO BUS B DIFF RELAY GE 850-B,400:5A (3),3000:5A (3),,,,,
8,B,PT-B,RISER/PT,pt_riser,17.5kV,,,GE-850-B BUS DIFFERENTIAL RELAY WITH HID MODULE,BUS-B FROM UNIT-7,,,,,,,TO BUS A DIFF CT
9,B,52-G1B,GENERATOR INCOMING,gen_feeder,17.5kV,3150A,40kA,SEL-751-G1B GEN PROTECTION RELAY,INCOMING 13.8KV LINE FROM GEN-1B,400:5A (3),3000:5A (3),,,,L.A. 18kV 15.3kV MCOV,
10,B,52-F1B,BESS FEEDER,bess_feeder,17.5kV,1200A,40kA,SEL-751-F1B FEEDER PROTECTION RELAY,TO 2MW / 4MWH BESS,400:5A (3),3000:5A (3),,,,L.A. 18kV 15.3kV MCOV,
11,B,PT2-B,REVENUE METERING PT,bus_pt_only,17.5kV,,,,,,,,"14,400:120V",6A,,
12,B,,XFMR RISER,xfmr_riser,17.5kV,,,,CONTINUE BUS-A UNIT 5,,3000:5A (3),,,,,
