unit,bus,tag,description,archetype,voltage,amp_rating,ka_rating,relay,destination,ct_protection,ct_metering,arrester,diff_note
1,A,52-GEN1A,,gen_feeder,17.5kV,3150A,40kA,SEL-751-GEN1A FEEDER PROTECTION RELAY,INCOMING 13.8KV LINE FROM GEN-1A,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
2,A,52-GEN2A,,gen_feeder,17.5kV,3150A,40kA,SEL-751-GEN2A FEEDER PROTECTION RELAY,INCOMING 13.8KV LINE FROM GEN-2A,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
3,A,52-GEN3A,,gen_feeder,17.5kV,3150A,40kA,SEL-751-GEN3A FEEDER PROTECTION RELAY,INCOMING 13.8KV LINE FROM GEN-3A,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
4,A,52-GEN4A,,gen_feeder,17.5kV,3150A,40kA,SEL-751-GEN4A FEEDER PROTECTION RELAY,INCOMING 13.8KV LINE FROM GEN-4A,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
5,A,52-GEN5A,,gen_feeder,17.5kV,3150A,40kA,SEL-751-GEN5A FEEDER PROTECTION RELAY,INCOMING 13.8KV LINE FROM GEN-5A,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
6,A,52-F1A,CUSTOMER FEEDER,customer_feeder,17.5kV,3150A,40kA,SEL-751-F1A FEEDER PROTECTION RELAY,CUSTOMER FEEDER 1A,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
7,A,52-F2A,BESS FEEDER,bess_feeder,17.5kV,3150A,40kA,SEL-751-F2A FEEDER PROTECTION RELAY,SPARE FOR BESS,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
8,A,,XFMR FEEDER,xfmr_feeder,17.5kV,,,,CONTINUE BUS-B UNIT 15,,3000:5A (3),,
9,A,PT,,pt_riser_tie,17.5kV,,,GE-850-A FEEDER PROTECTION RELAY WITH HID MODULE,,,,,
10,A,52-T,,main_tie,17.5kV,3150A,40kA,SEL-751-T FEEDER PROTECTION RELAY WITH SYNC,TO BUS B DIFF RELAY GE 850-B,400:5A (3),3000:5A (3),,
11,B,,RISER/PT,pt_riser,17.5kV,,,GE-850-B FEEDER PROTECTION RELAY WITH HID MODULE,BUS-B FROM UNIT-10,,,,TO BUS A DIFF CT
12,B,52-F1B,CUSTOMER FEEDER,customer_feeder,17.5kV,3150A,40kA,SEL-751-F1B FEEDER PROTECTION RELAY,CUSTOMER FEEDER 1B,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
13,B,52-F2B,BESS FEEDER,bess_feeder,17.5kV,3150A,40kA,SEL-751-F2B FEEDER PROTECTION RELAY,SPARE FOR BESS,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
14,B,,XFMR FEEDER,xfmr_riser,17.5kV,,,,CONTINUE BUS-A UNIT 8,,3000:5A (3),,
15,B,52-GEN1B,,gen_feeder,17.5kV,3150A,40kA,SEL-751-GEN1B FEEDER PROTECTION RELAY,INCOMING 13.8KV LINE FROM GEN-1B,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
16,B,52-GEN2B,,gen_feeder,17.5kV,3150A,40kA,SEL-751-GEN2B FEEDER PROTECTION RELAY,INCOMING 13.8KV LINE FROM GEN-2B,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
17,B,52-GEN3B,,gen_feeder,17.5kV,3150A,40kA,SEL-751-GEN3B FEEDER PROTECTION RELAY,INCOMING 13.8KV LINE FROM GEN-3B,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
18,B,52-GEN4B,,gen_feeder,17.5kV,3150A,40kA,SEL-751-GEN4B FEEDER PROTECTION RELAY,INCOMING 13.8KV LINE FROM GEN-4B,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
19,B,52-GEN5B,SPARE,gen_feeder,17.5kV,3150A,40kA,SEL-751-GEN5B FEEDER PROTECTION RELAY,INCOMING 13.8KV LINE FROM GEN-5B,400:5A (3),3000:5A (3),L.A. 18kV 15.3kV MCOV,
